"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3QHITW7OYO9EGA33OVY4DVX4GOCAQR","www.funwithasl.net/static/pirate.mp4","bed","pirate","dog","knuckle","come","A3760PCQD2MPIO","Choice 2","Fri Jun 27 03:51:01 UTC 2014"
"3I01FDIL6M8VMY4U6UZ57E77LLV2D7","www.funwithasl.net/static/face.mp4","come","face","must","hell","experiment","A2P6VK1US8OTC5","Choice 2","Fri Jun 27 03:53:55 UTC 2014"
"3L2OEKSTW9A96O1AI7VKUQUBP9TY8E","www.funwithasl.net/static/time.mp4","way","time","crocodile","knee","bell","A3760PCQD2MPIO","Choice 2","Fri Jun 27 03:54:25 UTC 2014"
"3JVP4ZJHDPS5YZH2JLW2FNU5GSJI05","www.funwithasl.net/static/icicle.mp4","military","icicle","permit","not","rush","A3760PCQD2MPIO","Choice 2","Fri Jun 27 03:54:37 UTC 2014"
"3CIS7GGG65J9YGRWL9KVJFKK4OFUEA","www.funwithasl.net/static/seal.mp4","bull","seal","end","peacock","circle","A2P6VK1US8OTC5","Choice 2","Fri Jun 27 03:55:14 UTC 2014"
"3R16PJFTS3RD3IPR2P4G46ZVP8NK4X","www.funwithasl.net/static/tail.mp4","calf","sea","night","tail","recruit","A2P6VK1US8OTC5","Choice 2","Fri Jun 27 03:54:30 UTC 2014"
"33J5JKFMK6YEWP4IFGJUQNJYAEKQ3B","www.funwithasl.net/static/fire.mp4","snow","fire","beast","get","know","A2P6VK1US8OTC5","Choice 2","Fri Jun 27 03:55:43 UTC 2014"
"3UUSLRKAUL328Z10C6G035OFW1HD7Y","www.funwithasl.net/static/voice.mp4","first","butter","voice","game","come","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 03:55:53 UTC 2014"
"3ULIZ0H1VA5TT0758KH84J9AGYJ51L","www.funwithasl.net/static/nose.mp4","father","nose","leap","become","eye","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 03:56:15 UTC 2014"
"3J6BHNX0U9SZPQZXKUJC3F5VGPJKNT","www.funwithasl.net/static/snake.mp4","little","snake","naked","twice","run","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 03:56:54 UTC 2014"
"3CMIQF80GNQDT8R0YIHSXQVIK5MQ6H","www.funwithasl.net/static/boy.mp4","barbecue","check","measles","get","boy","A2P6VK1US8OTC5","Choice 2","Fri Jun 27 03:56:40 UTC 2014"
"34XASH8KLQMUIZBDLL9KMH2U59EMPV","www.funwithasl.net/static/council.mp4","battery","council","young","come","skin","A2P6VK1US8OTC5","Choice 2","Fri Jun 27 03:56:55 UTC 2014"
"3G9UA71JVVUFBL1SM22B63JS1LE7J6","www.funwithasl.net/static/flamingo.mp4","sentence","word","way","flamingo","come","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:01:19 UTC 2014"
"3D06DR5225JNVV5BW2RNWMDZ6NFAM4","www.funwithasl.net/static/see.mp4","report","see","jealous","nice","head","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 03:59:21 UTC 2014"
"3HFWPF5AK9JQ95JV7K8ZLNYZS24S31","www.funwithasl.net/static/door.mp4","make","door","know","dig","secret","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 03:59:29 UTC 2014"
"368IUKXGA58STWQLY523XL58F9ZP6O","www.funwithasl.net/static/hope.mp4","person","hope","slap","back","holiday","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:01:47 UTC 2014"
"3W9XHF7WGKVXK34HHQ5OCEBN575KTU","www.funwithasl.net/static/people.mp4","something","people","book","cave","nurse","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:06:16 UTC 2014"
"3TTPFEFXCTK0GFSXFSUYOC3HTIPH6B","www.funwithasl.net/static/know.mp4","must","know","size","repeat","latitude","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:05:07 UTC 2014"
"3JUDR1D0D6RPB78ZBG5P7DE640KQ20","www.funwithasl.net/static/princess.mp4","know","princess","come","crown","snow","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:06:05 UTC 2014"
"3XUY87HIVPEOXWE0T5HS5D8Z043MMZ","www.funwithasl.net/static/March.mp4","lobster","sure","begin","march","curious","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:05:17 UTC 2014"
"391JB9X4ZY8T78EX8T4CQ0GVBZ9KMT","www.funwithasl.net/static/bull.mp4","hide","bull","half","rope","rupee","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:06:48 UTC 2014"
"3X0EMNLXEPPD8M5MZDAB9DL7W2RPVG","www.funwithasl.net/static/snow.mp4","sun","snow","singer","village","fish","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:06:30 UTC 2014"
"3VGET1QSZ0Z1H51RT1LQVTD03HN7W1","www.funwithasl.net/static/old.mp4","sand","poor","farm","room","old","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:08:22 UTC 2014"
"391FPZIE4CMLIQIYBAS14IHXW47UHQ","www.funwithasl.net/static/buffalo.mp4","beach","buffalo","get","frog","snake","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:09:17 UTC 2014"
"39KV3A5D1878AOKI9WBPY4AFX4QS76","www.funwithasl.net/static/great.mp4","next","great","inside","label","door","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:11:25 UTC 2014"
"3UAU495MIISVA74LFNNROREY8QLUOE","www.funwithasl.net/static/town.mp4","hand","town","crown","know","dear","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:11:04 UTC 2014"
"3FK4G712NX0UTM4AXZ90TV6BKI4SSU","www.funwithasl.net/static/little.mp4","god","little","young","hand","life","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:12:09 UTC 2014"
"36MUZ9VAE62NHEGAZEU69FGWIOLDEK","www.funwithasl.net/static/sleigh.mp4","inspire","sleigh","bury","month","nature","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:10:51 UTC 2014"
"3S829FDFT21WNE7RUJKYX413YUVXDC","www.funwithasl.net/static/know.mp4","tell","know","bus","lovely","game","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:14:22 UTC 2014"
