"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"39HYCOOPKOLLT28NGCIPMNL5RQBMDH","www.funwithasl.net/static/see.mp4","thursday","away","see","child","moment","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:19:19 UTC 2014"
"3W5PY7V3UP7YQ5XT9BSBJG3P5KMJYI","www.funwithasl.net/static/pipe.mp4","wind","singer","pipe","earth","rose","A2M18L7COHRV57","Word 3","Fri Jun 27 00:19:44 UTC 2014"
"3PZDSVZ3J5HEBOAUZ2WWWYGZJ3T4NN","www.funwithasl.net/static/cry.mp4","knuckle","cabin","cry","round","voice","AO3XB5I5QNNUI","Word 3","Fri Jun 27 00:19:46 UTC 2014"
"3W1K7D6QSBHSDC9MH5HDZZTE39HZB4","www.funwithasl.net/static/forest.mp4","root","forest","pelican","off","song","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:20:31 UTC 2014"
"33Q5P9PUSPMBNH1SV5D8AJZWLUHZCB","www.funwithasl.net/static/war.mp4","full","singer","war","bowl","bark","AO3XB5I5QNNUI","Word 3","Fri Jun 27 00:20:36 UTC 2014"
"3YD0MU1NC214ASYOSWPYD4G9BYK7AQ","www.funwithasl.net/static/voice.mp4","first","butter","voice","game","come","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:20:06 UTC 2014"
"3SMIWMMK6153FGDN69E15LRKBSKWUS","www.funwithasl.net/static/queen.mp4","scroll","telescope","right","queen","say","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:21:36 UTC 2014"
"3IZPORCT1F9T2YQH7GXWZ7UDP54HRA","www.funwithasl.net/static/rabbit.mp4","hurry","sure","rabbit","puzzled","ill","AO3XB5I5QNNUI","Word 3","Fri Jun 27 00:21:18 UTC 2014"
"3OZ4VAIBEXFHMB2O405RCHZVN3KJV9","www.funwithasl.net/static/March.mp4","lobster","sure","begin","march","curious","AO3XB5I5QNNUI","Word 3","Fri Jun 27 00:21:55 UTC 2014"
"3URJ6VVYUPNWT9A60HW9BNG49DY4O2","www.funwithasl.net/static/cat.mp4","latitude","minute","cat","size","half","A2M18L7COHRV57","Word 3","Fri Jun 27 00:21:46 UTC 2014"
