"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3CVBMEMMXBGJKF62Y2ZQUQ3DO02H7H","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:43:23 UTC 2014"
"3R6RZGK0XFC7H0XNQ06UM4EJ0ELVYL","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A3HB9PPUZU565U","Choice 2","Tue Jul 08 05:47:25 UTC 2014"
"3W9XHF7WGKVXK34HHQ5OCEBN5EWTK8","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:31:27 UTC 2014"
"3RHLQY6EDT45PCJHA8IT0T4556ID4J","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A841FR9QWUPT4","Choice 2","Tue Jul 08 05:30:35 UTC 2014"
"3CMIQF80GNQDT8R0YIHSXQVIKCE6Q3","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A1IV0802ICNA0A","Choice 3","Tue Jul 08 06:06:35 UTC 2014"
"35JDMRECC49QTYQ114VEF0JTVNTEG1","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A1IV0802ICNA0A","Choice 5","Tue Jul 08 05:39:01 UTC 2014"
"3VGZ74AYTGGBW06N5DPJPCJQABFGC9","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:19:19 UTC 2014"
"3QMELQS6Y5BD5960BX6S2G5NGYG6R4","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A3HB9PPUZU565U","Choice 1","Tue Jul 08 05:58:53 UTC 2014"
"3F6045TU7DOUJSCCFN9IV5WV0DI99V","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A841FR9QWUPT4","Choice 3","Tue Jul 08 05:31:16 UTC 2014"
"3K1H3NEY7LZL1SC159KU9I18VBRGD9","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:29:18 UTC 2014"
"3HY86PZXPYITPJ0YJLAB8DFNTYA1EO","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:39:20 UTC 2014"
"3M67TQBQQHO8OBMH7TNIR07F6V09AA","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:50:18 UTC 2014"
"3ATYLI1PRT2MWRTR3OJDHP5NRHGJOE","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A1GGOZPHYU0OC0","Choice 1","Tue Jul 08 06:40:43 UTC 2014"
"3TFJJUELSHPLH6YG6Y4UN8PP0SBC2N","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:52:11 UTC 2014"
"35JDMRECC49QTYQ114VEF0JTVNSGE2","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A1IV0802ICNA0A","Choice 5","Tue Jul 08 06:20:18 UTC 2014"
"3UAU495MIISVA74LFNNROREY8XDOUE","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A3HB9PPUZU565U","Choice 5","Tue Jul 08 05:35:35 UTC 2014"
"3QI9WAYOGQBP6O6DQM6XSQAJ20Z6SS","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A1IV0802ICNA0A","Choice 3","Tue Jul 08 05:57:44 UTC 2014"

"39RRBHZ0AU17MQ7SMM8D0BNL68PVZC","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A3HB9PPUZU565U","Choice 4","Tue Jul 08 05:56:19 UTC 2014"
"3D4BBDG7ZHWA2OUZAYIZ6IUH66BC3Y","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A1IV0802ICNA0A","Choice 4","Tue Jul 08 06:21:13 UTC 2014"
"31S7M7DAGGQ849MZ2QHPREO2UE1TLB","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A3HB9PPUZU565U","Choice 4","Tue Jul 08 05:54:14 UTC 2014"
"3MDKGGG61QNQLOJSFMBN2V654JD6TH","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A1GGOZPHYU0OC0","Choice 2","Tue Jul 08 06:10:28 UTC 2014"
"3EHIMLB7F7ZNKTBL87RW8QZ8ZK8H84","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A1IV0802ICNA0A","Choice 1","Tue Jul 08 06:05:40 UTC 2014"
"3J94SKDEKIPNLVNHOD135LAJ52DD5O","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:34:09 UTC 2014"
"3BS6ERDL937J4ZNVTWB8XROJ1XOD64","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A3HB9PPUZU565U","Choice 2","Tue Jul 08 05:58:12 UTC 2014"
"32ZCLEW0BZK4HR5SIOWS6PAD1MCJPV","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A1GGOZPHYU0OC0","Choice 5","Tue Jul 08 06:31:40 UTC 2014"
"3HO4MYYR12O5L1YHFR1X7RS7NXK6U8","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A1IV0802ICNA0A","Choice 5","Tue Jul 08 06:10:17 UTC 2014"
"38DCH97KHH2PH367I1BH6U0N6IYJQM","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A1GGOZPHYU0OC0","Choice 1","Tue Jul 08 06:31:12 UTC 2014"
"3MDWE879UH2D7LR9D7NEMBRLODL9B5","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A1IV0802ICNA0A","Choice 1","Tue Jul 08 06:16:59 UTC 2014"
