"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"37ZQELHEQ0YUFEZ056WSISXZ5VZNMO","www.funwithasl.net/static/sign12.mp4","white","good","keep","talk","tea","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:43:18 UTC 2014"
"3TX9T2ZCB91K1F7XCWD9MD6ZDBKZW7","www.funwithasl.net/static/sign8.mp4","know","chance","rest","accident","poor","A1SUU1QIRDZXJC","Choice 4","Sat Jun 28 10:51:12 UTC 2014"
"3H4IKZHALBI0XWK0H7BSV7MZAL9NNO","www.funwithasl.net/static/sign15.mp4","noble","come","brave","happen","dog","A1GKEEI844CEKI","Choice 4","Sat Jun 28 12:37:13 UTC 2014"
"3DZKABX2ZI5UEXWIU8O5PDM0XKXVCV","www.funwithasl.net/static/sign9.mp4","done","home","aunt","alone","farm","AKFH16PLQSYHY","Choice 5","Sat Jun 28 06:01:42 UTC 2014"
"3PN6H8C9R4QKR1ZYJ9SKDWQ5XA8AD9","www.funwithasl.net/static/sign11.mp4","sky","forest","soft","sorrow","bring","A1GKEEI844CEKI","Choice 5","Sat Jun 28 12:44:16 UTC 2014"
"34YWR3PJ28A2OU6XI7W3IXHK4690XB","www.funwithasl.net/static/sign4.mp4","boy","grow","bald","hungry","prince","AKFH16PLQSYHY","Choice 1","Sat Jun 28 05:59:39 UTC 2014"
"3QHITW7OYO9EGA33OVY4DVX4GPXQAU","www.funwithasl.net/static/sign20.mp4","sleigh","bread","shoot","cottage","wife","AKFH16PLQSYHY","Choice 1","Sat Jun 28 06:14:43 UTC 2014"
"3QE4DGPGBRB81WT8CYJ16E72ISSG4E","www.funwithasl.net/static/sign6.mp4","kid","white","little","curious","begin","A1SUU1QIRDZXJC","Choice 1","Sat Jun 28 10:49:56 UTC 2014"
"3APP19WN71EMGJXMVMCG3CRGEJYG6Z","www.funwithasl.net/static/sign18.mp4","away","bed","boy","hand","eye","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:39:29 UTC 2014"
"3WGCNLZJKF8OXDMYNQZR2VX2TG2D1O","www.funwithasl.net/static/sign5.mp4","key","tea","cat","ill","lesson","AKFH16PLQSYHY","Choice 2","Sat Jun 28 06:00:00 UTC 2014"
"3HA5ODM5KASALELERUE54IQIJNJSVM","www.funwithasl.net/static/sign12.mp4","white","good","keep","talk","tea","AKFH16PLQSYHY","Choice 2","Sat Jun 28 06:14:10 UTC 2014"
"3I6NF2WGIGWQXFX8Q32BB6DGIONG5J","www.funwithasl.net/static/sign7.mp4","guess","school","want","back","try","A5A9QE4W8X1UI","Choice 2","Sat Jun 28 06:35:24 UTC 2014"
"3C8QQOM6JP1IVV6O8EILD7MTJRFIL1","www.funwithasl.net/static/sign3.mp4","sister","get","see","form","bag","A234WZ4KX8IW07","Choice 2","Sat Jun 28 09:51:25 UTC 2014"
"3JHB4BPSFK90BRTYWPK4H0MKA7FQ9F","www.funwithasl.net/static/sign14.mp4","good","milk","bag","tomorrow","grandmother","AKFH16PLQSYHY","Choice 3","Sat Jun 28 05:59:12 UTC 2014"
"3OPLMF3EU5NA9WHF5UVDIFIA5Q9NLM","www.funwithasl.net/static/sign9.mp4","done","home","aunt","alone","farm","A5A9QE4W8X1UI","Choice 3","Sat Jun 28 06:36:41 UTC 2014"
"31GN6YMHLPSN03LJH4J1QK9WQWLSWW","www.funwithasl.net/static/sign17.mp4","music","sand","nothing","know","people","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:32:57 UTC 2014"
"302OLP89DZ7AM9TKJDX9TQ8NCAWAC9","www.funwithasl.net/static/sign1.mp4","dinner","grandfather","everything","last","room","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:40:35 UTC 2014"
"3VIVIU06FKC21DO98QJ0DK1IJW5IM3","www.funwithasl.net/static/sign8.mp4","know","chance","rest","accident","poor","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:43:06 UTC 2014"
"3JGHED38EDR56AWR823EGQYGEQ8Y7E","www.funwithasl.net/static/sign19.mp4","read","pray","old","morning","stay","A1SUU1QIRDZXJC","Choice 4","Sat Jun 28 10:52:04 UTC 2014"
"35F6NGNVM8J9POXXYWGF8961ZOQ7TY","www.funwithasl.net/static/sign16.mp4","bird","fly","alone","leaf","cool","A1GKEEI844CEKI","Choice 4","Sat Jun 28 12:38:40 UTC 2014"
"3ZXNP4Z39RLL6BPSPNEOMIWK5B4L79","www.funwithasl.net/static/sign13.mp4","shadow","object","sea","save","effort","AKFH16PLQSYHY","Choice 5","Sat Jun 28 06:01:56 UTC 2014"
"363A7XIFV4M6LIZKAUSEJIWCXHCVAT","www.funwithasl.net/static/sign10.mp4","wish","breakfast","justice","people","house","AKFH16PLQSYHY","Choice 5","Sat Jun 28 06:13:27 UTC 2014"
"36AZSFEYZ40B4S4CG8SAETGIFZXVBO","www.funwithasl.net/static/sign15.mp4","noble","come","brave","happen","dog","A1SUU1QIRDZXJC","Choice 5","Sat Jun 28 10:50:33 UTC 2014"
"30EV7DWJTVVM2AIMPSYMACYKJFOY6F","www.funwithasl.net/static/sign11.mp4","sky","forest","soft","sorrow","bring","A1GKEEI844CEKI","Choice 5","Sat Jun 28 12:33:12 UTC 2014"
"39KV3A5D1878AOKI9WBPY4AFX5C7S9","www.funwithasl.net/static/sign2.mp4","bat","mother","home","bicycle","put","A1GKEEI844CEKI","Choice 5","Sat Jun 28 12:42:55 UTC 2014"
"3PIOQ99R7YMDSM49E8NE92ETIH1UNM","www.funwithasl.net/static/sign6.mp4","kid","white","little","curious","begin","AKFH16PLQSYHY","Choice 1","Sat Jun 28 06:13:36 UTC 2014"
"3HXK2V1N4KFYYIEL8K0DDZA4YEWG2I","www.funwithasl.net/static/sign10.mp4","wish","breakfast","justice","people","house","A5A9QE4W8X1UI","Choice 1","Sat Jun 28 06:36:16 UTC 2014"
"3GV1I4SEO9P22BBN6D9WG4WOA0KL6A","www.funwithasl.net/static/sign16.mp4","bird","fly","alone","leaf","cool","A1SUU1QIRDZXJC","Choice 1","Sat Jun 28 10:47:07 UTC 2014"
"37PGLWGSJT67BPO6NE6KY79EURAIKY","www.funwithasl.net/static/sign1.mp4","dinner","grandfather","everything","last","room","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:32:42 UTC 2014"
